Timestamp,SystemCodeNumber,OccupancyRatio,QueueLength,TrafficLevel,IsSpecialDay,VehicleWeight
2016-10-04 07:59:00,BHMBCCMKT01,0.10571923743500866,1,0.0,0,1.0
2016-10-04 07:59:00,BHMNCPHST01,0.1975,2,0.0,0,0.5
2016-10-04 07:59:00,BHMMBMMBX01,0.38427947598253276,2,0.0,0,1.0
2016-10-04 07:59:00,BHMNCPNST01,0.51340206185567,2,0.0,0,1.0
2016-10-04 07:59:00,Shopping,0.31979166666666664,2,0.0,0,0.2
2016-10-04 07:59:00,BHMEURBRD01,0.24893617021276596,2,0.0,0,1.0
2016-10-04 07:59:00,Broad Street,0.2579710144927536,2,0.0,0,1.0
2016-10-04 07:59:00,Others-CCCPS8,0.33661119515885024,3,0.5,0,0.5
2016-10-04 07:59:00,Others-CCCPS105a,0.35291189646590343,2,0.0,0,1.0
2016-10-04 07:59:00,Others-CCCPS119a,0.06956831965750981,1,0.0,0,1.0
2016-10-04 07:59:00,BHMBCCTHL01,0.31007751937984496,2,0.0,0,1.0
2016-10-04 07:59:00,Others-CCCPS135a,0.27839299510687615,2,0.0,0,1.0
2016-10-04 07:59:00,Others-CCCPS202,0.18624446714334356,2,0.0,0,0.5
2016-10-04 07:59:00,Others-CCCPS98,0.1894940380277151,2,0.5,0,1.0
2016-10-04 08:25:00,Others-CCCPS8,0.3615733736762481,2,0.0,0,1.5
2016-10-04 08:25:00,BHMNCPNST01,0.5505154639175258,2,0.0,0,1.5
2016-10-04 08:25:00,Others-CCCPS105a,0.38825286212045795,3,0.5,0,1.0
2016-10-04 08:25:00,Others-CCCPS202,0.22642151855635,2,0.0,0,1.0
2016-10-04 08:25:00,Others-CCCPS135a,0.3778006695853721,3,0.0,0,0.5
2016-10-04 08:25:00,BHMBCCTHL01,0.3333333333333333,2,0.5,0,1.0
2016-10-04 08:25:00,BHMMBMMBX01,0.4395924308588064,1,0.0,0,1.0
2016-10-04 08:25:00,BHMEURBRD01,0.3702127659574468,1,0.0,0,0.5
2016-10-04 08:25:00,Others-CCCPS98,0.21849822752175313,3,0.5,0,0.5
2016-10-04 08:25:00,Broad Street,0.3898550724637681,2,0.0,0,1.0
2016-10-04 08:25:00,Others-CCCPS119a,0.0849090260435248,2,0.5,0,1.0
2016-10-04 08:25:00,Shopping,0.3963541666666667,2,0.0,0,1.0
2016-10-04 08:25:00,BHMNCPHST01,0.2625,2,0.0,0,0.5
2016-10-04 08:25:00,BHMBCCMKT01,0.11091854419410745,1,0.0,0,1.0
2016-10-04 08:59:00,Others-CCCPS8,0.3918305597579425,3,0.5,0,1.0
2016-10-04 08:59:00,BHMBCCTHL01,0.4005167958656331,2,0.0,0,1.0
2016-10-04 08:59:00,Others-CCCPS119a,0.11523367820192651,2,0.0,0,1.0
2016-10-04 08:59:00,Shopping,0.49895833333333334,2,0.0,0,1.0
2016-10-04 08:59:00,Others-CCCPS135a,0.516868400721092,2,0.0,0,1.0
2016-10-04 08:59:00,Broad Street,0.6014492753623188,3,0.0,0,0.5
2016-10-04 08:59:00,BHMNCPNST01,0.5731958762886598,2,0.0,0,1.0
2016-10-04 08:59:00,BHMEURBRD01,0.5723404255319149,2,0.0,0,1.5
2016-10-04 08:59:00,BHMMBMMBX01,0.5036390101892285,2,0.0,0,1.5
2016-10-04 08:59:00,BHMBCCMKT01,0.1386481802426343,2,0.0,0,1.0
2016-10-04 08:59:00,Others-CCCPS98,0.25523686754753466,3,0.0,0,1.0
2016-10-04 08:59:00,BHMNCPHST01,0.3675,2,0.0,0,1.0
2016-10-04 08:59:00,Others-CCCPS202,0.28872999659516513,2,0.0,0,0.5
2016-10-04 08:59:00,Others-CCCPS105a,0.4300647088103534,2,0.0,0,1.0
2016-10-04 09:32:00,BHMEURBRD01,0.7468085106382979,3,0.0,0,0.2
2016-10-04 09:32:00,BHMBCCTHL01,0.5271317829457365,2,0.0,0,0.2
2016-10-04 09:32:00,Others-CCCPS202,0.35274089206673476,3,0.0,0,1.0
2016-10-04 09:32:00,Others-CCCPS8,0.4462934947049924,3,0.0,0,0.2
2016-10-04 09:32:00,Broad Street,0.7681159420289855,2,0.0,0,1.0
2016-10-04 09:32:00,Others-CCCPS98,0.30035449564937156,3,0.0,0,1.0
2016-10-04 09:32:00,Others-CCCPS119a,0.14983945772386728,2,0.0,0,0.5
2016-10-04 09:32:00,Others-CCCPS105a,0.4997511199601792,3,0.0,0,1.0
2016-10-04 09:32:00,BHMBCCMKT01,0.1854419410745234,2,0.0,0,1.0
2016-10-04 09:32:00,Shopping,0.5838541666666667,3,0.0,0,0.2
2016-10-04 09:32:00,Others-CCCPS135a,0.6443471542621684,3,0.0,0,0.5
2016-10-04 09:32:00,BHMMBMMBX01,0.6026200873362445,2,0.0,0,1.5
2016-10-04 09:32:00,BHMNCPHST01,0.46,2,0.0,0,0.5
2016-10-04 09:32:00,BHMNCPNST01,0.622680412371134,3,0.0,0,1.5
2016-10-04 09:59:00,BHMNCPHST01,0.5316666666666666,2,0.0,0,1.0
2016-10-04 09:59:00,Shopping,0.653125,3,0.0,0,1.5
2016-10-04 09:59:00,Others-CCCPS8,0.4969742813918306,3,0.0,0,1.5
2016-10-04 09:59:00,BHMEURBRD01,0.8446808510638298,2,0.0,0,0.5
2016-10-04 09:59:00,Others-CCCPS98,0.33902674830808893,3,0.0,0,0.2
2016-10-04 09:59:00,Others-CCCPS119a,0.1698180520870496,3,0.0,0,1.0
2016-10-04 09:59:00,BHMBCCTHL01,0.6098191214470284,2,0.0,0,1.0
2016-10-04 09:59:00,Others-CCCPS105a,0.5684420109507218,3,0.0,0,1.0
2016-10-04 09:59:00,Others-CCCPS202,0.39598229485869935,3,0.0,0,1.0
2016-10-04 09:59:00,Broad Street,0.8695652173913043,2,0.0,0,1.0
2016-10-04 09:59:00,BHMNCPNST01,0.6742268041237114,3,0.5,0,1.0
2016-10-04 09:59:00,BHMBCCMKT01,0.25996533795493937,2,0.0,0,0.5
2016-10-04 09:59:00,Others-CCCPS135a,0.7216070048931239,3,0.0,0,1.5
2016-10-04 09:59:00,BHMMBMMBX01,0.7059679767103348,3,0.0,0,1.0
2016-10-04 10:26:00,Others-CCCPS8,0.5408472012102874,3,0.0,0,1.0
2016-10-04 10:26:00,BHMEURBRD01,0.9148936170212766,3,0.0,0,1.0
2016-10-04 10:26:00,Others-CCCPS98,0.368030937802127,4,0.0,0,1.0
2016-10-04 10:26:00,Broad Street,0.9304347826086956,4,0.0,0,1.0
2016-10-04 10:26:00,BHMBCCMKT01,0.30675909878682844,3,0.0,0,1.0
2016-10-04 10:26:00,Others-CCCPS105a,0.6197112991538078,4,0.0,0,1.5
2016-10-04 10:26:00,Others-CCCPS119a,0.1872993221548341,4,0.0,0,0.2
2016-10-04 10:26:00,BHMNCPHST01,0.5716666666666667,4,0.5,0,1.0
2016-10-04 10:26:00,Others-CCCPS202,0.4279877425944842,3,0.0,0,1.0
2016-10-04 10:26:00,Others-CCCPS135a,0.7816121555498327,5,0.0,0,1.0
2016-10-04 10:26:00,Shopping,0.6895833333333333,4,0.0,0,1.0
